Ordinal,Function,Ordinal_in_Function
284,??0CSharedFile@@QAE@II@Z @ 519 NONAME,False
285,??0CSingleDocTemplate@@QAE@IPAUCRuntimeClass@@00@Z @ 520 NONAME,False
286,??0CSingleLock@@QAE@PAVCSyncObject@@H@Z @ 521 NONAME,False
287,??0CSliderCtrl@@QAE@XZ @ 522 NONAME,False
288,??0CSocket@@QAE@XZ @ 523 NONAME,False
289,??0CSocketFile@@QAE@PAVCSocket@@H@Z @ 524 NONAME,False
290,??0CSocketWnd@@QAE@XZ @ 525 NONAME,False
291,??0CSpinButtonCtrl@@QAE@XZ @ 526 NONAME,False
292,??0CSplitterWnd@@QAE@XZ @ 527 NONAME,False
293,??0CStatic@@QAE@XZ @ 528 NONAME,False
294,??0CStatusBar@@QAE@XZ @ 529 NONAME,False
295,??0CStatusBarCtrl@@QAE@XZ @ 530 NONAME,False
296,??0CStdioFile@@QAE@PAU_iobuf@@@Z @ 531 NONAME,False
297,??0CStdioFile@@QAE@PBDI@Z @ 532 NONAME,False
298,??0CStdioFile@@QAE@XZ @ 533 NONAME,False
299,??0CStockPropPage@@QAE@II@Z @ 534 NONAME,False
300,??0CString@@QAE@ABV0@@Z @ 535 NONAME,False
301,??0CString@@QAE@DH@Z @ 536 NONAME,False
302,??0CString@@QAE@PBD@Z @ 537 NONAME,False
303,??0CString@@QAE@PBDH@Z @ 538 NONAME,False
304,??0CString@@QAE@PBG@Z @ 539 NONAME,False
305,??0CString@@QAE@XZ @ 540 NONAME,False
306,??0CStringArray@@QAE@XZ @ 541 NONAME,False
307,??0CStringList@@QAE@H@Z @ 542 NONAME,False
308,??0CSyncObject@@QAE@PBD@Z @ 543 NONAME,False
309,??0CTabCtrl@@QAE@XZ @ 544 NONAME,False
310,??0CTestCmdUI@@QAE@XZ @ 545 NONAME,False
311,??0CThreadSlotData@@QAE@XZ @ 546 NONAME,False
312,??0CTime@@QAE@ABU_FILETIME@@H@Z @ 547 NONAME,False
313,??0CTime@@QAE@ABU_SYSTEMTIME@@H@Z @ 548 NONAME,False
314,??0CTime@@QAE@ABV0@@Z @ 549 NONAME,False
315,??0CTime@@QAE@GGH@Z @ 550 NONAME,False
316,??0CTime@@QAE@HHHHHHH@Z @ 551 NONAME,False
317,??0CTime@@QAE@XZ @ 552 NONAME,False
318,??0CTimeSpan@@QAE@XZ @ 553 NONAME,False
319,??0CToolBar@@QAE@XZ @ 554 NONAME,False
320,??0CToolBarCtrl@@QAE@XZ @ 555 NONAME,False
321,??0CToolTipCtrl@@QAE@XZ @ 556 NONAME,False
322,??0CTreeCtrl@@QAE@XZ @ 557 NONAME,False
323,??0CTreeView@@QAE@XZ @ 558 NONAME,False
324,??0CUIntArray@@QAE@XZ @ 559 NONAME,False
325,??0CView@@IAE@XZ @ 560 NONAME,False
326,??0CWinApp@@QAE@PBD@Z @ 561 NONAME,False
327,??0CWindowDC@@QAE@PAVCWnd@@@Z @ 562 NONAME,False
328,??0CWindowlessDC@@QAE@PAUHDC__@@AAVCPoint@@@Z @ 563 NONAME,False
329,??0CWinThread@@QAE@P6AIPAX@Z0@Z @ 564 NONAME,False
330,??0CWinThread@@QAE@XZ @ 565 NONAME,False
331,??0CWnd@@AAE@PAUHWND__@@@Z @ 566 NONAME,False
332,??0CWnd@@QAE@XZ @ 567 NONAME,False
333,??0CWordArray@@QAE@XZ @ 568 NONAME,False
334,??0PAGE_INFO@CPreviewView@@QAE@XZ @ 569 NONAME,False
335,??0tagFONTOBJECT@@QAE@ABU0@@Z @ 570 NONAME,False
336,??1?$_CIP@UIBindCtx@@$1?IID_IBindCtx@@3U_GUID@@B@@QAE@XZ @ 571 NONAME,False
337,??1?$_CIP@UIBindHost@@$1?IID_IBindHost@@3U_GUID@@B@@QAE@XZ @ 572 NONAME,False
338,??1?$_CIP@UIBinding@@$1?IID_IBinding@@3U_GUID@@B@@QAE@XZ @ 573 NONAME,False
339,??1?$_CIP@UIMoniker@@$1?IID_IMoniker@@3U_GUID@@B@@QAE@XZ @ 574 NONAME,False
340,??1?$_CIP@UIServiceProvider@@$1?IID_IServiceProvider@@3U_GUID@@B@@QAE@XZ @ 575 NONAME,False
341,??1?$_CIP@UIStream@@$1?IID_IStream@@3U_GUID@@B@@QAE@XZ @ 576 NONAME,False
342,??1?$CIP@UIBindCtx@@$1?IID_IBindCtx@@3U_GUID@@B@@QAE@XZ @ 577 NONAME,False
343,??1?$CIP@UIBindHost@@$1?IID_IBindHost@@3U_GUID@@B@@QAE@XZ @ 578 NONAME,False
344,??1?$CIP@UIBinding@@$1?IID_IBinding@@3U_GUID@@B@@QAE@XZ @ 579 NONAME,False
345,??1?$CIP@UIMoniker@@$1?IID_IMoniker@@3U_GUID@@B@@QAE@XZ @ 580 NONAME,False
346,??1?$CIP@UIServiceProvider@@$1?IID_IServiceProvider@@3U_GUID@@B@@QAE@XZ @ 581 NONAME,False
347,??1?$CIP@UIStream@@$1?IID_IStream@@3U_GUID@@B@@QAE@XZ @ 582 NONAME,False
348,??1?$CThreadLocal@VAFX_MODULE_THREAD_STATE@@@@QAE@XZ @ 583 NONAME,False
349,??1_AFX_CHECKLIST_STATE@@UAE@XZ @ 584 NONAME,False
350,??1_AFX_CTL3D_STATE@@UAE@XZ @ 585 NONAME,False
351,??1_AFX_CTL3D_THREAD@@UAE@XZ @ 586 NONAME,False
352,??1_AFX_DAO_STATE@@UAE@XZ @ 587 NONAME,False
353,??1_AFX_DB_STATE@@UAE@XZ @ 588 NONAME,False
354,??1_AFX_EDIT_STATE@@UAE@XZ @ 589 NONAME,False
355,??1_AFX_EXTDLL_STATE@@UAE@XZ=_AfxBinaryCompatibleStubFunction @ 590 NONAME,False
356,??1_AFX_MAIL_STATE@@UAE@XZ @ 591 NONAME,False
357,??1_AFX_OLE_STATE@@UAE@XZ @ 592 NONAME,False
358,??1_AFX_RICHEDIT_STATE@@UAE@XZ @ 593 NONAME,False
359,??1_AFX_SOCK_STATE@@UAE@XZ @ 594 NONAME,False
360,??1_AFX_THREAD_STATE@@UAE@XZ @ 595 NONAME,False
361,??1_AFX_WIN_STATE@@UAE@XZ @ 596 NONAME,False
362,??1_AFXCTL_UIACTIVE_INFO@@QAE@XZ @ 597 NONAME,False
363,??1AFX_COM@@QAE@XZ=_AfxBinaryCompatibleStubFunction @ 598 NONAME,False
364,??1AFX_MAINTAIN_STATE@@QAE@XZ @ 599 NONAME,False
365,??1AFX_MODULE_STATE@@UAE@XZ @ 600 NONAME,False
366,??1AFX_MODULE_THREAD_STATE@@UAE@XZ @ 601 NONAME,False
367,??1CAnimateCtrl@@UAE@XZ @ 602 NONAME,False
368,??1CArchive@@QAE@XZ @ 603 NONAME,False
369,??1CAsyncMonikerFile@@UAE@XZ @ 604 NONAME,False
370,??1CAsyncSocket@@UAE@XZ @ 605 NONAME,False
371,??1CBitmap@@UAE@XZ @ 606 NONAME,False
372,??1CBitmapButton@@UAE@XZ @ 607 NONAME,False
373,??1CBrush@@UAE@XZ @ 608 NONAME,False
374,??1CButton@@UAE@XZ @ 609 NONAME,False
375,??1CByteArray@@UAE@XZ @ 610 NONAME,False
376,??1CCachedDataPathProperty@@UAE@XZ @ 611 NONAME,False
377,??1CCheckListBox@@UAE@XZ @ 612 NONAME,False
378,??1CClientDC@@UAE@XZ @ 613 NONAME,False
379,??1CCmdTarget@@UAE@XZ @ 614 NONAME,False
